chromosome	start	end	depth
1	11867	11942	1
1	11942	12481	0
1	12604	12628	4
1	12628	12629	3
1	12629	12666	4
1	12666	12667	3
1	12667	12670	4
1	12670	12691	3
1	12691	12696	2
1	12696	12704	3
1	12704	12742	2
1	13170	13235	1
1	13235	13296	2
1	13296	13316	1
1	13316	13327	0
1	13327	13352	1
1	13352	13357	2
1	13357	13366	3
1	13366	13375	4
1	13375	13400	5
1	13400	13402	6
1	13402	13406	5
1	13406	13416	7
1	13416	13420	8
1	13420	13423	9
1	13423	13456	10
1	13456	13464	11
1	13464	13467	10
1	13467	13475	11
1	13475	13478	10
1	13478	13481	9
1	13481	13482	8
1	13482	13486	7
1	13486	13492	8
1	13492	13497	9
1	13497	13502	8
1	13502	13519	7
1	13519	13526	6
1	13526	13537	5
1	13537	13545	4
1	13545	13561	5
1	13561	13594	4
1	13594	13610	3
1	13610	13615	2
1	13615	13620	1
1	13620	13625	0
1	13625	13700	1
1	13700	14479	0
1	860114	861127	0
1	860114	861127	0
1	860114	861127	0
1	861127	861135	1
1	861135	861174	2
1	861174	861199	3
1	861301	861302	60
1	861302	861303	59
1	861303	861304	61
1	861304	861306	63
1	861306	861307	66
1	861307	861308	65
1	861308	861310	66
1	861310	861312	64
1	861312	861314	65
1	861314	861315	64
1	861315	861318	65
1	861318	861319	64
1	861319	861320	65
1	861320	861321	66
1	861321	861323	68
1	861301	861302	60
1	861302	861303	59
1	861303	861304	61
1	861304	861306	63
1	861306	861307	66
1	861307	861308	65
1	861308	861310	66
1	861310	861312	64
1	861312	861314	65
1	861314	861315	64
1	861315	861318	65
1	861318	861319	64
1	861319	861320	65
1	861320	861321	66
1	861321	861323	68
1	861323	861324	70
1	861324	861326	72
1	861326	861327	71
1	861327	861328	73
1	861328	861329	75
1	861329	861330	76
1	861330	861332	77
1	861332	861333	75
1	861333	861335	77
1	861335	861336	78
1	861336	861341	79
1	861341	861342	78
1	861342	861344	76
1	861344	861345	75
1	861345	861346	77
1	861346	861347	76
1	861347	861349	75
1	861349	861350	76
1	861350	861352	78
1	861352	861353	79
1	861353	861355	80
1	861355	861356	79
1	861356	861359	82
1	861359	861360	81
1	861360	861361	82
1	861361	861362	80
1	861362	861363	82
1	861363	861364	84
1	861364	861368	85
1	861368	861369	86
1	861369	861370	87
1	861370	861371	86
1	861371	861372	85
1	861372	861373	84
1	861373	861374	83
1	861374	861375	84
1	861375	861378	83
1	861378	861379	81
1	861379	861380	79
1	861380	861381	80
1	861381	861390	78
1	861390	861391	77
1	861391	861393	78
1	861393	861395	77
1	865533	865536	17
1	865536	865543	16
1	865543	865544	17
1	865544	865546	18
1	865546	865547	17
1	865547	865549	19
1	865549	865553	20
1	865553	865558	21
1	865558	865560	23
1	865560	865561	24
1	865561	865564	26
1	865564	865567	27
1	865567	865568	28
1	865568	865569	30
1	865569	865577	29
1	865577	865578	28
1	865578	865579	29
1	865579	865580	30
1	865580	865581	31
1	865581	865582	32
1	865582	865585	34
1	865585	865589	36
1	865589	865592	38
1	865592	865593	39
1	865593	865596	41
1	865596	865598	43
1	865598	865600	44
1	865600	865601	45
1	865601	865602	48
1	865602	865603	50
1	865603	865607	49
1	865607	865608	48
1	865608	865609	50
1	865609	865611	52
1	865611	865612	54
1	865612	865613	55
1	865613	865614	56
1	865614	865617	58
1	865617	865618	59
1	865618	865619	60
1	865619	865620	59
1	865620	865623	61
1	865623	865626	62
1	865626	865627	64
1	865627	865630	63
1	865630	865632	61
1	865632	865635	62
1	865635	865636	63
1	865636	865638	64
1	865638	865639	65
1	865639	865640	66
1	865640	865641	68
1	865641	865642	66
1	865642	865646	65
1	865646	865647	66
1	865647	865650	67
1	865650	865652	68
1	865652	865653	67
1	865653	865654	66
1	865654	865656	67
1	865656	865657	66
1	865657	865660	65
1	865660	865661	64
1	865661	865664	67
1	865664	865666	66
1	865666	865669	67
1	865669	865670	66
1	865670	865672	67
1	865672	865673	70
1	865673	865675	71
1	865675	865676	75
1	865676	865677	73
1	865677	865680	70
1	865680	865682	69
1	865682	865683	70
1	865683	865684	68
1	865684	865686	67
1	865686	865687	68
1	865687	865688	67
1	865688	865690	66
1	865690	865693	65
1	865693	865695	62
1	865695	865697	61
1	865697	865698	60
1	865698	865699	58
1	865699	865700	59
1	865700	865701	57
1	865701	865704	56
1	865704	865707	57
1	865707	865708	56
1	865708	865709	55
1	865709	865710	56
1	865710	865714	55
1	865714	865715	56
1	865715	865717	58
1	865690	865693	65
1	865693	865695	62
1	865695	865697	61
1	865697	865698	60
1	865698	865699	58
1	865699	865700	59
1	865700	865701	57
1	865701	865704	56
1	865704	865707	57
1	865707	865708	56
1	865708	865709	55
1	865709	865710	56
1	865710	865714	55
1	865714	865715	56
