chromosome	start	end	depth
1	11856	11879	7
1	11879	11898	6
1	11898	11901	7
1	11901	11912	8
1	11912	11914	7
1	11914	11922	6
1	11922	11955	7
1	11955	11967	6
1	11967	11988	4
1	11988	11992	5
1	11992	11993	6
1	11993	12002	5
1	12002	12023	4
1	12023	12059	2
1	12059	12077	3
1	12077	12087	4
1	12087	12088	6
1	12088	12089	8
1	12089	12107	7
1	12107	12117	8
1	12117	12126	9
1	12126	12127	10
1	12127	12128	9
1	12128	12149	10
1	12149	12155	11
1	12155	12183	12
1	12183	12188	13
1	12188	12189	14
1	12189	12199	12
1	12199	12208	11
1	12208	12218	10
1	12218	12229	9
1	12611	12618	6
1	12618	12620	7
1	12620	12626	8
1	12626	12627	9
1	12627	12632	10
1	12632	12646	9
1	12646	12673	8
1	12673	12687	9
1	12687	12693	8
1	12693	12699	7
1	12699	12707	6
1	12707	12712	7
1	12712	12764	6
1	13220	13225	5
1	13225	13257	6
1	13257	13275	5
1	13275	13290	4
1	13290	13310	5
1	13310	13317	4
1	13317	13326	3
1	13326	13335	1
1	13335	13337	2
1	13337	13344	3
1	13344	13350	4
1	13350	13357	5
1	13357	13370	6
1	13370	13373	7
1	13373	13391	9
1	13391	13392	8
1	13392	13398	9
1	13398	13399	10
1	13399	13414	11
1	13414	13416	12
1	13416	13422	14
1	13422	13436	15
1	13436	13438	16
1	13438	13442	15
1	13442	13443	16
1	13443	13445	17
1	13445	13451	16
1	13451	13457	15
1	13457	13460	16
1	13460	13465	15
1	13465	13467	14
1	13467	13471	13
1	13471	13474	12
1	13474	13487	13
1	13487	13507	14
1	13507	13517	15
1	13517	13536	16
1	13536	13537	15
1	13537	13540	14
1	13540	13543	13
1	13543	13544	12
1	13544	13546	11
1	13546	13556	10
1	13556	13558	9
1	13558	13572	8
1	13572	13588	9
1	13588	13595	8
1	13595	13596	6
1	13596	13602	5
1	13602	13604	6
1	13604	13608	5
1	13608	13610	4
1	13610	13630	3
1	13630	13650	4
1	13650	13652	5
1	13652	13656	4
1	13656	13657	1
1	13657	13658	2
1	13658	13660	4
1	13660	13663	5
1	13663	13675	6
1	13675	13703	5
1	13703	13710	4
1	13710	13733	5
1	13733	13740	4
1	13740	13752	3
1	13752	13761	2
1	13761	13771	1
1	13771	13813	2
1	13813	13829	1
1	13829	13837	2
1	13837	13872	3
1	13872	13930	2
1	13930	13938	1
1	13938	14005	0
1	14005	14017	1
1	14017	14064	2
1	14064	14118	3
1	14118	14165	2
1	14165	14196	1
1	14196	14212	0
1	14212	14216	1
1	14216	14302	2
1	14302	14313	3
1	14313	14314	2
1	14314	14344	1
1	14344	14362	2
1	14362	14386	3
1	14386	14397	4
1	14397	14400	3
1	14400	14403	4
1	14403	14404	3
1	14404	14445	4
1	859087	861146	0
1	859087	861146	0
1	859087	861146	0
1	861146	861162	2
1	861162	861163	3
1	861163	861177	4
1	861177	861180	5
1	861180	861181	6
1	861301	861302	27
1	861302	861304	28
1	861304	861308	29
1	861308	861309	30
1	861309	861313	32
1	861313	861315	33
1	861315	861317	34
1	861317	861328	35
1	861301	861302	27
1	861302	861304	28
1	861304	861308	29
1	861308	861309	30
1	861309	861313	32
1	861313	861315	33
1	861315	861317	34
1	861317	861328	35
1	861328	861330	36
1	861330	861334	37
1	861334	861335	36
1	861335	861337	35
1	861337	861341	36
1	861341	861345	35
1	861345	861361	37
1	861361	861362	36
1	861362	861364	35
1	861364	861369	36
1	861369	861389	35
1	861389	861391	34
1	861391	861393	33
1	861393	861394	32
1	865534	865535	121
1	865535	865537	123
1	865537	865539	125
1	865539	865540	126
1	865540	865543	128
1	865543	865544	130
1	865544	865546	131
1	865546	865547	132
1	865547	865549	137
1	865549	865550	138
1	865550	865551	139
1	865551	865552	140
1	865552	865554	141
1	865554	865555	145
1	865555	865556	146
1	865556	865557	147
1	865557	865559	149
1	865559	865561	148
1	865561	865564	145
1	865564	865567	144
1	865567	865568	147
1	865568	865569	149
1	865569	865570	148
1	865570	865571	150
1	865571	865572	152
1	865572	865573	153
1	865573	865574	155
1	865574	865575	158
1	865575	865576	160
1	865576	865577	161
1	865577	865578	158
1	865578	865579	162
1	865579	865581	163
1	865581	865582	168
