chromosome	start	end	depth
1	10426	12183	0
1	12183	12301	1
1	12607	12658	3
1	12658	12669	2
1	12669	12682	1
1	12682	12691	0
1	12691	12697	1
1	12697	12772	2
1	13216	13222	9
1	13222	13274	10
1	13274	13284	9
1	13284	13289	7
1	13289	13291	6
1	13291	13302	5
1	13302	13303	6
1	13303	13319	7
1	13319	13331	8
1	13331	13336	7
1	13336	13350	8
1	13350	13352	7
1	13352	13353	8
1	13353	13356	7
1	13356	13373	8
1	13373	13377	9
1	13377	13378	8
1	13378	13381	7
1	13381	13388	8
1	13388	13394	7
1	13394	13402	6
1	13402	13409	7
1	13409	13410	6
1	13410	13411	7
1	13411	13416	6
1	13416	13422	7
1	13422	13427	8
1	13427	13435	7
1	13435	13443	8
1	13443	13452	9
1	13452	13456	10
1	13456	13462	9
1	13462	13471	10
1	13471	13485	9
1	13485	13486	8
1	13486	13497	7
1	13497	13518	6
1	13518	13520	5
1	13520	13527	4
1	13527	13543	3
1	13543	13545	4
1	13545	13547	3
1	13547	13559	2
1	13559	13561	3
1	13561	13585	4
1	13585	13586	3
1	13586	13634	4
1	13634	13636	3
1	13636	13637	2
1	13637	13656	3
1	13656	13658	2
1	13658	13663	3
1	13663	13712	2
1	13712	13741	1
1	13741	13841	0
1	13841	13916	1
1	13916	13937	0
1	13937	14012	1
1	14012	14521	0
1	842787	861129	0
1	842787	861129	0
1	842787	861129	0
1	861129	861175	1
1	861175	861181	2
1	861301	861304	39
1	861304	861305	41
1	861305	861306	42
1	861306	861308	40
1	861308	861309	41
1	861309	861310	42
1	861310	861311	43
1	861311	861315	45
1	861315	861318	44
1	861318	861320	43
1	861320	861322	46
1	861301	861304	39
1	861304	861305	41
1	861305	861306	42
1	861306	861308	40
1	861308	861309	41
1	861309	861310	42
1	861310	861311	43
1	861311	861315	45
1	861315	861318	44
1	861318	861320	43
1	861320	861322	46
1	861322	861325	48
1	861325	861326	51
1	861326	861330	50
1	861330	861331	51
1	861331	861332	52
1	861332	861333	53
1	861333	861334	52
1	861334	861335	51
1	861335	861336	54
1	861336	861339	57
1	861339	861341	56
1	861341	861342	55
1	861342	861344	56
1	861344	861345	57
1	861345	861346	58
1	861346	861347	57
1	861347	861348	56
1	861348	861349	58
1	861349	861350	57
1	861350	861351	58
1	861351	861352	61
1	861352	861354	63
1	861354	861356	64
1	861356	861357	63
1	861357	861359	62
1	861359	861361	64
1	861361	861362	67
1	861362	861363	69
1	861363	861365	68
1	861365	861366	69
1	861366	861368	68
1	861368	861370	69
1	861370	861372	68
1	861372	861374	69
1	861374	861376	67
1	861376	861377	65
1	861377	861379	64
1	861379	861380	65
1	861380	861382	66
1	861382	861383	65
1	861383	861386	64
1	861386	861387	65
1	861387	861391	66
1	861391	861394	67
1	865532	865536	14
1	865536	865539	15
1	865539	865543	16
1	865543	865544	18
1	865544	865547	19
1	865547	865549	21
1	865549	865553	22
1	865553	865555	23
1	865555	865557	22
1	865557	865559	23
1	865559	865560	24
1	865560	865564	25
1	865564	865565	24
1	865565	865566	23
1	865566	865567	22
1	865567	865569	23
1	865569	865570	24
1	865570	865571	26
1	865571	865578	28
1	865578	865581	30
1	865581	865582	29
1	865582	865585	33
1	865585	865586	35
1	865586	865587	37
1	865587	865589	38
1	865589	865590	37
1	865590	865591	38
1	865591	865593	40
1	865593	865594	42
1	865594	865595	44
1	865595	865596	46
1	865596	865597	45
1	865597	865598	47
1	865598	865599	50
1	865599	865601	49
1	865601	865602	51
1	865602	865603	53
1	865603	865605	54
1	865605	865606	56
1	865606	865607	57
1	865607	865608	58
1	865608	865611	60
1	865611	865612	59
1	865612	865617	60
1	865617	865621	62
1	865621	865622	63
1	865622	865624	62
1	865624	865625	63
1	865625	865634	64
1	865634	865635	63
1	865635	865636	62
1	865636	865640	63
1	865640	865641	64
1	865641	865642	65
1	865642	865643	68
1	865643	865644	69
1	865644	865646	70
1	865646	865647	68
1	865647	865648	70
1	865648	865649	71
1	865649	865653	72
1	865653	865654	71
1	865654	865657	72
1	865657	865658	69
1	865658	865660	70
1	865660	865661	72
1	865661	865665	71
1	865665	865666	72
1	865666	865667	71
1	865667	865668	72
1	865668	865669	73
1	865669	865671	72
1	865671	865672	73
1	865672	865675	72
1	865675	865677	71
1	865677	865678	70
1	865678	865680	69
1	865680	865682	71
1	865682	865683	72
1	865683	865684	71
1	865684	865686	73
1	865686	865688	75
1	865688	865689	76
1	865689	865690	77
1	865690	865692	75
1	865692	865694	74
1	865694	865696	73
1	865696	865699	70
1	865699	865704	67
1	865704	865705	66
1	865705	865706	68
1	865706	865708	66
1	865708	865709	67
1	865709	865711	68
1	865711	865714	67
1	865714	865716	66
1	865716	865717	64
1	865690	865692	75
1	865692	865694	74
1	865694	865696	73
1	865696	865699	70
1	865699	865704	67
1	865704	865705	66
1	865705	865706	68
1	865706	865708	66
1	865708	865709	67
1	865709	865711	68
1	865711	865714	67
1	865714	865716	66
1	865716	865717	64
1	866417	866420	44
1	866420	866421	46
1	866421	866422	48
1	866422	866423	46
1	866423	866424	45
1	866424	866425	46
1	866425	866426	43
1	866426	866429	44
1	866429	866434	46
1	866434	866441	47
1	866441	866442	48
1	866442	866443	50
1	866443	866444	49
1	866444	866446	50
1	866446	866447	51
1	866447	866448	52
1	866448	866450	54
1	866450	866451	53
1	866451	866452	51
1	866452	866453	49
1	866453	866454	50
1	866454	866456	51
1	866456	866459	52
1	866459	866463	51
1	866463	866464	52
1	866464	866466	51
1	866466	866468	50
1	866468	866471	49
1	871151	871152	38
1	871152	871154	37
1	871154	871156	36
1	871156	871157	37
1	871157	871161	39
1	871161	871165	40
1	871165	871166	43
1	871166	871168	44
1	871168	871172	45
1	871172	871173	43
1	871173	871175	44
1	871151	871152	38
1	871152	871154	37
1	871154	871156	36
1	871156	871157	37
1	871157	871161	39
1	871161	871165	40
1	871165	871166	43
1	871166	871168	44
1	871168	871172	45
1	871172	871173	43
1	871173	871175	44
1	871175	871177	45
1	871177	871179	44
1	871179	871181	43
1	871181	871183	44
1	871183	871184	43
1	871184	871185	42
1	871185	871190	45
1	871190	871191	48
1	871191	871192	47
1	871192	871193	46
1	871193	871194	47
1	871194	871195	46
1	871195	871199	47
1	871199	871204	50
1	871204	871205	51
1	871205	871207	50
1	871207	871209	49
1	871209	871210	48
1	871210	871211	47
1	871211	871214	46
1	871214	871218	45
1	871218	871221	44
1	871221	871225	46
1	871225	871226	42
1	871226	871227	43
1	871227	871230	42
1	871230	871232	43
1	871232	871233	42
1	871233	871236	43
1	871236	871240	42
1	871240	871241	40
1	871241	871243	39
1	871243	871248	40
1	871248	871250	39
1	871250	871253	38
1	871253	871258	37
1	871258	871260	36
1	871260	871265	34
1	871265	871270	30
1	871270	871273	29
1	871273	871274	30
1	871274	871279	28
1	874419	874420	37
1	874420	874421	36
1	874421	874423	37
1	874423	874425	38
1	874425	874426	40
1	874426	874431	42
1	874431	874433	41
1	874433	874435	40
1	874435	874439	41
1	874439	874440	42
1	874440	874442	44
1	874442	874445	47
1	874445	874449	45
1	874449	874451	46
1	874451	874452	44
1	874452	874457	45
1	874457	874460	46
1	874460	874462	45
1	874462	874469	44
1	874469	874471	43
1	874471	874481	42
1	874481	874484	43
1	874484	874485	44
1	874485	874486	43
1	874486	874487	41
1	874487	874489	40
1	874489	874491	38
1	874491	874494	37
1	874494	874496	36
1	874496	874497	35
1	874497	874500	37
1	874500	874501	36
1	874501	874507	33
1	874507	874510	34
1	874649	874655	21
1	874655	874658	20
1	874658	874664	19
1	874664	874667	20
1	874667	874674	21
1	874649	874655	21
1	874655	874658	20
1	874658	874664	19
1	874664	874667	20
1	874667	874674	21
1	874674	874676	20
1	874676	874678	19
1	874678	874680	20
1	874680	874682	19
1	874682	874684	18
1	874684	874687	17
1	874687	874690	18
1	874690	874692	17
1	874692	874698	16
1	874698	874699	17
1	874699	874702	18
1	874702	874704	19
1	874704	874705	20
1	874705	874709	21
1	874709	874712	22
1	874712	874718	23
1	874718	874720	22
1	874720	874730	21
1	874730	874733	22
1	874733	874734	23
1	874734	874736	24
1	874736	874737	25
1	874737	874739	26
1	874739	874742	27
1	874742	874755	28
1	874755	874762	27
1	874762	874765	25
1	874765	874766	24
1	874766	874768	23
1	874768	874769	22
1	874769	874777	21
1	874777	874779	20
