chromosome	start	end	depth
1	10109	12494	0
1	12569	12690	1
1	12690	12694	0
1	12694	12727	1
1	13216	13236	5
1	13236	13272	4
1	13272	13280	5
1	13280	13325	3
1	13325	13326	2
1	13326	13347	1
1	13347	13368	0
1	13368	13407	1
1	13407	13430	2
1	13430	13448	3
1	13448	13455	4
1	13455	13474	5
1	13474	13482	6
1	13482	13501	5
1	13501	13502	4
1	13502	13523	5
1	13523	13530	4
1	13530	13549	3
1	13549	13550	2
1	13550	13555	3
1	13555	13560	4
1	13560	13566	6
1	13566	13580	5
1	13580	13591	6
1	13591	13612	7
1	13612	13626	8
1	13626	13655	7
1	13655	13666	6
1	13666	13672	5
1	13672	13681	4
1	13681	13687	3
1	13687	13692	2
1	13692	13698	1
1	13698	14004	0
1	14004	14079	1
1	14079	14082	0
1	14082	14157	1
1	14157	14493	0
1	854197	861135	0
1	854197	861135	0
1	854197	861135	0
1	861135	861144	1
1	861144	861154	2
1	861154	861173	3
1	861173	861174	4
1	861174	861179	5
1	861179	861180	6
1	861180	861182	7
1	861301	861302	55
1	861302	861303	56
1	861303	861304	57
1	861304	861305	56
1	861305	861306	57
1	861306	861307	56
1	861307	861310	55
1	861310	861311	56
1	861311	861312	58
1	861312	861314	59
1	861314	861315	58
1	861315	861316	59
1	861316	861317	58
1	861317	861318	59
1	861318	861320	58
1	861320	861323	59
1	861301	861302	55
1	861302	861303	56
1	861303	861304	57
1	861304	861305	56
1	861305	861306	57
1	861306	861307	56
1	861307	861310	55
1	861310	861311	56
1	861311	861312	58
1	861312	861314	59
1	861314	861315	58
1	861315	861316	59
1	861316	861317	58
1	861317	861318	59
1	861318	861320	58
1	861320	861323	59
1	861323	861324	58
1	861324	861326	57
1	861326	861330	58
1	861330	861334	60
1	861334	861335	62
1	861335	861336	63
1	861336	861337	66
1	861337	861339	67
1	861339	861340	66
1	861340	861341	65
1	861341	861342	66
1	861342	861343	65
1	861343	861344	66
1	861344	861347	67
1	861347	861348	66
1	861348	861349	67
1	861349	861351	66
1	861351	861352	70
1	861352	861353	71
1	861353	861354	70
1	861354	861355	69
1	861355	861356	72
1	861356	861358	71
1	861358	861359	70
1	861359	861361	69
1	861361	861365	70
1	861365	861366	69
1	861366	861368	68
1	861368	861369	69
1	861369	861370	68
1	861370	861371	70
1	861371	861373	67
1	861373	861375	66
1	861375	861377	67
1	861377	861379	66
1	861379	861380	65
1	861380	861385	64
1	861385	861387	63
1	861387	861388	62
1	861388	861393	63
1	861393	861394	62
1	865532	865537	10
1	865537	865538	11
1	865538	865544	12
1	865544	865550	13
1	865550	865551	14
1	865551	865554	15
1	865554	865555	17
1	865555	865560	18
1	865560	865562	19
1	865562	865567	20
1	865567	865568	21
1	865568	865571	22
1	865571	865573	23
1	865573	865574	24
1	865574	865575	25
1	865575	865577	24
1	865577	865578	25
1	865578	865581	26
1	865581	865582	27
1	865582	865583	28
1	865583	865585	29
1	865585	865587	30
1	865587	865588	31
1	865588	865589	32
1	865589	865590	33
1	865590	865591	34
1	865591	865592	35
1	865592	865601	34
1	865601	865602	35
1	865602	865604	36
1	865604	865605	35
1	865605	865607	34
1	865607	865609	35
1	865609	865610	38
1	865610	865611	39
1	865611	865616	40
1	865616	865617	42
1	865617	865618	43
1	865618	865619	44
1	865619	865620	45
1	865620	865623	46
1	865623	865624	47
1	865624	865626	49
1	865626	865627	48
1	865627	865631	50
1	865631	865632	52
1	865632	865635	53
1	865635	865636	52
1	865636	865639	53
1	865639	865642	55
1	865642	865643	56
1	865643	865644	55
1	865644	865646	56
1	865646	865650	57
1	865650	865652	59
1	865652	865655	58
1	865655	865659	59
1	865659	865661	60
1	865661	865662	61
1	865662	865663	60
1	865663	865664	59
1	865664	865666	60
1	865666	865667	61
1	865667	865668	62
1	865668	865670	64
1	865670	865671	65
1	865671	865675	66
1	865675	865677	65
1	865677	865679	66
1	865679	865684	65
1	865684	865687	66
1	865687	865688	67
1	865688	865689	66
1	865689	865691	67
1	865691	865692	66
1	865692	865694	65
1	865694	865696	64
1	865696	865698	63
1	865698	865700	62
1	865700	865701	61
1	865701	865702	62
1	865702	865704	59
1	865704	865705	58
1	865705	865706	57
1	865706	865712	56
1	865712	865715	57
1	865715	865716	55
1	865716	865717	54
1	865691	865692	66
1	865692	865694	65
1	865694	865696	64
1	865696	865698	63
1	865698	865700	62
1	865700	865701	61
1	865701	865702	62
1	865702	865704	59
1	865704	865705	58
1	865705	865706	57
1	865706	865712	56
1	865712	865715	57
1	865715	865716	55
1	865716	865717	54
1	866418	866422	39
1	866422	866425	40
1	866425	866427	39
1	866427	866428	40
1	866428	866429	41
1	866429	866431	43
1	866431	866432	42
1	866432	866433	39
1	866433	866436	40
1	866436	866437	39
1	866437	866438	38
1	866438	866439	39
1	866439	866440	40
1	866440	866442	42
1	866442	866444	44
1	866444	866446	45
1	866446	866447	46
1	866447	866448	49
1	866448	866449	48
1	866449	866451	47
1	866451	866452	48
1	866452	866453	51
1	866453	866454	52
1	866454	866455	53
1	866455	866466	54
1	866466	866467	53
1	866467	866468	54
1	866468	866469	52
1	866469	866475	53
1	871150	871152	43
1	871152	871153	42
1	871153	871155	43
1	871155	871159	42
1	871159	871160	43
1	871160	871162	44
1	871162	871163	45
1	871163	871166	46
1	871166	871167	45
1	871167	871168	46
1	871168	871170	47
1	871170	871174	46
1	871150	871152	43
1	871152	871153	42
1	871153	871155	43
1	871155	871159	42
1	871159	871160	43
1	871160	871162	44
1	871162	871163	45
1	871163	871166	46
1	871166	871167	45
1	871167	871168	46
1	871168	871170	47
1	871170	871174	46
1	871174	871176	47
1	871176	871177	48
1	871177	871178	49
1	871178	871179	47
1	871179	871180	46
1	871180	871181	45
1	871181	871182	46
1	871182	871184	47
1	871184	871185	48
1	871185	871188	50
1	871188	871189	52
1	871189	871190	51
1	871190	871191	52
1	871191	871192	53
1	871192	871195	54
1	871195	871197	53
1	871197	871198	54
1	871198	871199	56
1	871199	871200	55
1	871200	871201	56
1	871201	871205	57
1	871205	871207	58
1	871207	871208	59
1	871208	871211	60
1	871211	871216	56
1	871216	871217	57
1	871217	871218	56
1	871218	871220	55
1	871220	871222	54
1	871222	871223	55
1	871223	871225	54
1	871225	871226	53
1	871226	871227	54
1	871227	871228	55
1	871228	871234	53
1	871234	871236	52
1	871236	871237	51
1	871237	871238	50
1	871238	871239	49
1	871239	871240	51
1	871240	871243	50
1	871243	871244	49
1	871244	871245	48
1	871245	871247	50
1	871247	871248	49
1	871248	871250	48
1	871250	871251	47
1	871251	871252	46
1	871252	871258	45
1	871258	871260	44
1	871260	871262	43
1	871262	871263	42
1	871263	871264	41
1	871264	871265	42
1	871265	871267	43
1	871267	871268	42
1	871268	871270	41
1	871270	871271	40
1	871271	871272	38
1	871272	871276	37
1	871276	871277	36
1	874419	874421	41
1	874421	874422	43
1	874422	874423	44
1	874423	874429	45
1	874429	874431	47
1	874431	874433	46
1	874433	874434	45
1	874434	874436	46
1	874436	874440	49
1	874440	874441	50
1	874441	874444	51
1	874444	874445	52
1	874445	874446	53
1	874446	874448	54
1	874448	874449	53
1	874449	874451	54
1	874451	874452	53
1	874452	874453	55
1	874453	874456	56
1	874456	874457	55
1	874457	874459	54
1	874459	874465	55
1	874465	874466	56
1	874466	874468	57
1	874468	874469	58
1	874469	874471	55
1	874471	874472	56
1	874472	874473	57
1	874473	874474	56
1	874474	874479	57
1	874479	874483	56
1	874483	874484	55
1	874484	874485	54
1	874485	874486	53
1	874486	874488	52
1	874488	874489	53
1	874489	874490	52
1	874490	874492	49
1	874492	874496	47
1	874496	874497	46
1	874497	874498	44
1	874498	874501	43
1	874501	874502	42
1	874502	874504	43
1	874504	874505	42
1	874505	874507	41
1	874507	874509	40
1	874509	874511	39
1	874647	874655	21
1	874655	874656	22
1	874656	874657	23
1	874657	874658	24
1	874658	874660	23
1	874660	874663	24
1	874663	874664	25
1	874664	874667	26
1	874667	874669	27
1	874669	874670	26
1	874670	874672	27
1	874647	874655	21
1	874655	874656	22
1	874656	874657	23
1	874657	874658	24
1	874658	874660	23
1	874660	874663	24
1	874663	874664	25
1	874664	874667	26
1	874667	874669	27
1	874669	874670	26
1	874670	874672	27
1	874672	874674	26
1	874674	874675	27
1	874675	874677	28
1	874677	874678	29
1	874678	874680	28
1	874680	874681	30
1	874681	874682	29
1	874682	874683	28
1	874683	874684	29
1	874684	874687	28
1	874687	874688	26
1	874688	874690	27
1	874690	874694	28
1	874694	874695	29
1	874695	874696	30
1	874696	874698	31
1	874698	874701	32
1	874701	874702	33
1	874702	874704	35
1	874704	874717	37
1	874717	874718	38
1	874718	874719	39
1	874719	874722	38
1	874722	874724	37
1	874724	874727	38
1	874727	874730	39
1	874730	874731	38
1	874731	874733	37
1	874733	874735	36
1	874735	874736	35
1	874736	874737	36
1	874737	874738	37
1	874738	874739	36
1	874739	874742	35
1	874742	874743	34
1	874743	874748	33
1	874748	874750	34
1	874750	874752	35
1	874752	874754	34
1	874754	874756	33
1	874756	874758	34
1	874758	874762	31
1	874762	874763	30
1	874763	874769	29
1	874769	874770	28
1	874770	874771	29
1	874771	874773	27
1	874773	874775	26
1	874775	874777	27
1	874777	874778	26
1	874778	874781	25
1	874781	874783	26
1	874783	874785	27
1	874785	874788	28
1	874788	874791	27
1	874791	874792	28
1	874792	874795	27
1	874647	874655	21
1	874655	874656	22
1	874656	874657	23
1	874657	874658	24
1	874658	874660	23
1	874660	874663	24
1	874663	874664	25
1	874664	874667	26
1	874667	874669	27
1	874669	874670	26
1	874670	874672	27
1	874672	874674	26
1	874674	874675	27
1	874675	874677	28
1	874677	874678	29
1	874678	874680	28
1	874680	874681	30
1	874681	874682	29
